program,vendor,version,cleaned name,cpe_name
WinRT Intellisense Desktop - Other Languages,Microsoft,10.1.19041.685,WinRT Intellisense Desktop,NOT_FOUND
WinRT Intellisense IoT - en-us,Microsoft,10.1.19041.685,WinRT Intellisense IoT,NOT_FOUND
WinRT Intellisense IoT - Other Languages,Microsoft,10.1.19041.685,WinRT Intellisense IoT,NOT_FOUND
WinRT Intellisense Mobile - en-us,Microsoft,10.1.19041.685,WinRT Intellisense Mobile,NOT_FOUND
WinRT Intellisense PPI - en-us,Microsoft,10.1.19041.685,WinRT Intellisense PPI,NOT_FOUND
WinRT Intellisense PPI - Other Languages,Microsoft,10.1.19041.685,WinRT Intellisense PPI,NOT_FOUND
WinRT Intellisense UAP - en-us,Microsoft,10.1.19041.685,WinRT Intellisense UAP,NOT_FOUND
WinRT Intellisense UAP - Other Languages,Microsoft,10.1.19041.685,WinRT Intellisense UAP,NOT_FOUND
WinSCP 6.5.5,Martin Prikryl,6.5.5,WinSCP,cpe:2.3:a:winscp:winscp:*:*:*:*:*:*:*:*
Wireshark 4.4.8 x64,Wireshark Developer Community Https://Www.Wireshark.Org,4.4.8,Wireshark,cpe:2.3:a:wireshark:wireshark:*:*:*:*:*:*:*:*
wkhtmltox 0.12.6-1,,,wkhtmltox -1,NOT_FOUND
Yabe version 1.3.2,Yabe Authors,1.3.2,Yabe version,NOT_FOUND
Zoom Workplace,Zoom Communications,6.7.8 (32670),Zoom Workplace,cpe:2.3:a:zoom:workplace:*:*:*:*:*:*:*:*
