Asset ID,Asset Name,Item,CVE ID
402,DESKTOP-5NATTOG,132,CVE-2026-10914
402,DESKTOP-5NATTOG,133,CVE-2026-11629
402,DESKTOP-5NATTOG,134,CVE-2026-9999
402,DESKTOP-5NATTOG,135,CVE-2026-9897
402,DESKTOP-5NATTOG,136,CVE-2026-10918
402,DESKTOP-5NATTOG,137,CVE-2026-9916
402,DESKTOP-5NATTOG,138,CVE-2026-10982
402,DESKTOP-5NATTOG,139,CVE-2026-11065
402,DESKTOP-5NATTOG,140,CVE-2026-9873
402,DESKTOP-5NATTOG,141,CVE-2026-11024
402,DESKTOP-5NATTOG,142,CVE-2026-11163
402,DESKTOP-5NATTOG,143,CVE-2026-9949
402,DESKTOP-5NATTOG,144,CVE-2026-11117
402,DESKTOP-5NATTOG,145,CVE-2026-10894
402,DESKTOP-5NATTOG,146,CVE-2026-11635
402,DESKTOP-5NATTOG,147,CVE-2026-11640
402,DESKTOP-5NATTOG,148,CVE-2026-10887
402,DESKTOP-5NATTOG,149,CVE-2026-11237
402,DESKTOP-5NATTOG,150,CVE-2026-11638
402,DESKTOP-5NATTOG,151,CVE-2026-11631
402,DESKTOP-5NATTOG,152,CVE-2026-9892
402,DESKTOP-5NATTOG,153,CVE-2026-9976
402,DESKTOP-5NATTOG,154,CVE-2026-10003
402,DESKTOP-5NATTOG,155,CVE-2026-11108
402,DESKTOP-5NATTOG,156,CVE-2026-11674
402,DESKTOP-5NATTOG,157,CVE-2026-10891
402,DESKTOP-5NATTOG,158,CVE-2026-11660
402,DESKTOP-5NATTOG,159,CVE-2026-11636
402,DESKTOP-5NATTOG,160,CVE-2026-9973
402,DESKTOP-5NATTOG,161,CVE-2026-10955
402,DESKTOP-5NATTOG,162,CVE-2026-10927
402,DESKTOP-5NATTOG,163,CVE-2026-9910
402,DESKTOP-5NATTOG,164,CVE-2026-10913
402,DESKTOP-5NATTOG,165,CVE-2026-9967
402,DESKTOP-5NATTOG,166,CVE-2026-11694
402,DESKTOP-5NATTOG,167,CVE-2026-11111
402,DESKTOP-5NATTOG,168,CVE-2026-11082
402,DESKTOP-5NATTOG,169,CVE-2026-11000
402,DESKTOP-5NATTOG,170,CVE-2026-9992
402,DESKTOP-5NATTOG,171,CVE-2026-10895
402,DESKTOP-5NATTOG,172,CVE-2026-10020
402,DESKTOP-5NATTOG,173,CVE-2026-9964
402,DESKTOP-5NATTOG,174,CVE-2026-9938
402,DESKTOP-5NATTOG,175,CVE-2026-9975
402,DESKTOP-5NATTOG,176,CVE-2026-11059
402,DESKTOP-5NATTOG,177,CVE-2026-9915
402,DESKTOP-5NATTOG,178,CVE-2026-11167
402,DESKTOP-5NATTOG,179,CVE-2026-11179
402,DESKTOP-5NATTOG,180,CVE-2026-11633
402,DESKTOP-5NATTOG,181,CVE-2026-10951
402,DESKTOP-5NATTOG,182,CVE-2026-11700
402,DESKTOP-5NATTOG,183,CVE-2026-11655
402,DESKTOP-5NATTOG,184,CVE-2026-11659
402,DESKTOP-5NATTOG,185,CVE-2026-9957
402,DESKTOP-5NATTOG,186,CVE-2026-11037
402,DESKTOP-5NATTOG,187,CVE-2026-11650
402,DESKTOP-5NATTOG,188,CVE-2026-11680
402,DESKTOP-5NATTOG,189,CVE-2026-10012
402,DESKTOP-5NATTOG,190,CVE-2026-11131
402,DESKTOP-5NATTOG,191,CVE-2026-9896
402,DESKTOP-5NATTOG,192,CVE-2026-11175
402,DESKTOP-5NATTOG,193,CVE-2026-10935
402,DESKTOP-5NATTOG,194,CVE-2026-10917
402,DESKTOP-5NATTOG,195,CVE-2026-9878
402,DESKTOP-5NATTOG,196,CVE-2026-11634
402,DESKTOP-5NATTOG,197,CVE-2026-11307
402,DESKTOP-5NATTOG,198,CVE-2026-9947
402,DESKTOP-5NATTOG,199,CVE-2026-10921
