id,name,ipv4,ipv6,mac,os,model,vendor,firmware
96,DELTAV_ENG,10.4.0.6,None,00:50:56:8D:19:C3,None,None,VMware,None
106,10.1.34.8:Unit ID 1,None,None,None,None,None,None,None
107,automation-ranger,None,fe80::250:56ff:fe8d:c42f,00:50:56:8D:C4:2F,None,None,VMware,None
108,michal-ranger-Site1,None,fe80::250:56ff:feb8:6f52,00:50:56:B8:6F:52,None,None,VMware,None
119,fe80::250:56ff:feb8:efcd,None,fe80::250:56ff:feb8:efcd,00:50:56:B8:EF:CD,None,None,VMware,None
127,10.1.30.193,10.1.30.193,None,00:50:56:B8:8E:E9,None,None,VMware,None
128,P22128,None,None,00:00:6C:00:01:FF,None,None,Foxboro,None
132,fe80::250:56ff:feb8:2d5e,None,fe80::250:56ff:feb8:2d5e,00:50:56:B8:2D:5E,None,None,VMware,None
134,fe80::250:56ff:feb8:f10,None,fe80::250:56ff:feb8:f10,00:50:56:B8:0F:10,None,None,VMware,None
135,fe80::250:56ff:feb8:90b0,None,fe80::250:56ff:feb8:90b0,00:50:56:B8:90:B0,None,None,VMware,None
136,fe80::250:56ff:feb8:1453,None,fe80::250:56ff:feb8:1453,00:50:56:B8:14:53,None,None,VMware,None
137,fe80::250:56ff:feb8:f70c,None,fe80::250:56ff:feb8:f70c,00:50:56:B8:F7:0C,None,None,VMware,None
141,fe80::250:56ff:feb8:8f65,None,fe80::250:56ff:feb8:8f65,00:50:56:B8:8F:65,None,None,VMware,None
142,CONCEPT,10.1.34.7,None,00:50:56:8D:41:17,None,None,VMware,None
144,192.168.1.12,192.168.1.12,None,00:1D:9C:CF:3D:FD,None,None,Rockwell Automation,None
145,00:1D:9C:D0:08:F6,None,None,00:1D:9C:D0:08:F6,None,None,Rockwell Automation,None
148,10.1.50.2,10.1.50.2,None,00:50:56:B8:CF:85,None,None,VMware,None
152,10.1.31.10,10.1.31.10,None,00:0E:8C:98:E3:50,None,None,Siemens,None
156,RobinHood-Michal,None,fe80::250:56ff:fe8d:e228,00:50:56:8D:E2:28,None,None,VMware,None
160,10.1.31.6,10.1.31.6,None,28:63:36:88:F7:AE,None,None,Siemens,None
162,fe80::250:56ff:feb8:87eb,None,fe80::250:56ff:feb8:87eb,00:50:56:B8:87:EB,None,None,VMware,None
