CVE ID,Confirmed Asset Count
CVE-2026-9938,1
CVE-2026-9939,1
CVE-2026-9940,1
CVE-2026-9941,1
CVE-2026-9945,1
CVE-2026-9946,1
CVE-2026-9947,1
CVE-2026-9948,1
CVE-2026-9949,1
CVE-2026-9951,1
CVE-2026-9952,1
CVE-2026-9954,1
CVE-2026-9956,1
CVE-2026-9957,1
CVE-2026-9958,1
CVE-2026-9960,1
CVE-2026-9961,1
CVE-2026-9962,1
CVE-2026-9963,1
CVE-2026-9964,1
CVE-2026-9965,1
CVE-2026-9966,1
CVE-2026-9967,1
CVE-2026-9968,1
CVE-2026-9969,1
CVE-2026-9970,1
CVE-2026-9972,1
CVE-2026-9973,1
CVE-2026-9974,1
CVE-2026-9975,1
CVE-2026-9976,1
CVE-2026-9977,1
CVE-2026-9978,1
CVE-2026-9982,1
CVE-2026-9983,1
CVE-2026-9984,1
CVE-2026-9987,1
CVE-2026-9988,1
CVE-2026-9990,1
CVE-2026-9992,1
CVE-2026-9993,1
CVE-2026-9994,1
CVE-2026-9995,1
CVE-2026-9997,1
CVE-2026-9998,1
CVE-2026-9999,1
ICSA-15-225-02A,1
RA-511407-2,1
RA-58964,1
RA-65980,1
RA-65982,1
RA-66678,1
