CVE ID,Item,Asset Name,Asset ID,Class Type,Ipv4,Ipv6,Mac,Vendor,Os,Model,Firmware,Serial Number,Num Alerts,Insight Names
CVE-2026-10919,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10920,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10921,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10922,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10923,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10924,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10925,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10926,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10927,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10928,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10929,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
